t (year),Interest Rate
1,1.22
2,1.34
3,1.425
4,1.51
5,1.83
6,1.965
7,2.1
8,2.166666667
9,2.233333333
10,2.3
11,2.335
12,2.37
13,2.405
14,2.44
15,2.475
16,2.51
17,2.545
18,2.58
19,2.615
20,2.65
21,2.674
22,2.698
23,2.722
24,2.746
25,2.77
26,2.794
27,2.818
28,2.842
29,2.866
30,2.89
31,2.891571429
32,2.893142857
33,2.894714286
34,2.896285714
35,2.897857143
36,2.899428571
37,2.901
38,2.902571429
39,2.904142857
40,2.905714286
41,2.907285714
42,2.908857143
43,2.910428571
44,2.912
45,2.913571429
46,2.915142857
47,2.916714286
48,2.918285714
49,2.919857143
50,2.921428571
51,2.923
52,2.924571429
53,2.926142857
54,2.927714286
55,2.929285714
56,2.930857143
57,2.932428571
58,2.934
59,2.935571429
60,2.937142857
61,2.938714286
62,2.940285714
63,2.941857143
64,2.943428571
65,2.945
66,2.946571429
67,2.948142857
68,2.949714286
69,2.951285714
70,2.952857143
71,2.954428571
72,2.956
73,2.957571429
74,2.959142857
75,2.960714286
76,2.962285714
77,2.963857143
78,2.965428571
79,2.967
80,2.968571429
81,2.970142857
82,2.971714286
83,2.973285714
84,2.974857143
85,2.976428571
86,2.978
87,2.979571429
88,2.981142857
89,2.982714286
90,2.984285714
91,2.985857143
92,2.987428571
93,2.989
94,2.990571429
95,2.992142857
96,2.993714286
97,2.995285714
98,2.996857143
99,2.998428571
100,3
