Age x,qx
20,0.00094679
21,0.0008945
22,0.00084597
23,0.00080159
24,0.00076173
25,0.00072686
26,0.00069744
27,0.000674
28,0.00065712
29,0.00064744
30,0.00064564
31,0.00065249
32,0.00066882
33,0.00069554
34,0.00073365
35,0.00078425
36,0.00084854
37,0.00092783
38,0.00102355
39,0.0011373
40,0.00127078
41,0.00142589
42,0.00160469
43,0.00180945
44,0.00204264
45,0.00230697
46,0.00260539
47,0.00294115
48,0.00331777
49,0.00373912
50,0.00420942
51,0.00473328
52,0.00531883
53,0.00598843
54,0.00676131
55,0.00764735
56,0.0086482
57,0.0097591
58,0.01097106
59,0.0122735
60,0.01365704
61,0.0151163
62,0.01665229
63,0.01827413
64,0.01999946
65,0.02185293
66,0.02386198
67,0.02604944
68,0.02843159
69,0.03102464
70,0.03384594
71,0.03691404
72,0.04024866
73,0.0438708
74,0.04780267
75,0.05206775
76,0.0566907
77,0.06169741
78,0.06711482
79,0.07297093
80,0.07929457
81,0.08611532
82,0.09346321
83,0.10136853
84,0.10986146
85,0.11897175
86,0.12872826
87,0.1391585
88,0.15028807
89,0.1621401
90,0.17473461
91,0.1880878
92,0.2022114
93,0.21711195
94,0.2327901
95,0.24923998
96,0.26644857
97,0.28439523
98,0.30305129
99,0.32237985
100,0.34233565
101,0.36286525
102,0.38390732
103,0.4053932
104,0.42724768
105,0.44938988
106,0.47173448
107,0.49419292
108,0.51667481
109,0.53908941
110,0.56134704
111,0.58336053
112,0.60504655
113,0.62632685
114,0.64712926
115,0.66738859
116,0.68704728
117,1
